id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude
13343749,JH121586,2024-01-18 18:30:00,011XX W 63RD ST,ASSAULT,SIMPLE,TAVERN / LIQUOR STORE,False,False,712,7.0,16.0,68.0,41.779618724,-87.653822953
12957281,JG121803,2023-01-18 21:30:00,048XX W JACKSON BLVD,BATTERY,SIMPLE,STREET,False,False,1533,15.0,28.0,25.0,41.876795906,-87.745297106
12956787,JG121307,2023-01-18 21:27:00,049XX W MONROE ST,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,True,True,1533,15.0,28.0,25.0,41.879467146,-87.748195577
12956782,JG121290,2023-01-18 21:11:00,004XX E 32ND ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,211,2.0,4.0,35.0,41.836600771,-87.61677038
12956767,JG121279,2023-01-18 21:00:00,029XX W LEXINGTON ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1135,11.0,28.0,27.0,41.871938186,-87.69931778
12956818,JG121320,2023-01-18 21:00:00,082XX S INGLESIDE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,631,6.0,8.0,44.0,41.745083371,-87.601372483
12956798,JG121299,2023-01-18 21:00:00,074XX S SOUTH SHORE DR,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,334,3.0,7.0,43.0,41.761484638,-87.55806373
12956795,JG121285,2023-01-18 20:50:00,024XX N LAWNDALE AVE,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,True,2524,25.0,31.0,22.0,41.925376401,-87.71945542
12957452,JG122154,2023-01-18 20:45:00,055XX W DRUMMOND PL,ASSAULT,SIMPLE,RESIDENCE,False,False,2514,25.0,30.0,19.0,41.928563818,-87.764478825
12957476,JG122202,2023-01-18 20:30:00,060XX S WOLCOTT AVE,ASSAULT,SIMPLE,STREET,False,False,714,7.0,15.0,67.0,41.784308275,-87.671611538
12956817,JG121303,2023-01-18 20:16:00,131XX S CORLISS AVE,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,533,5.0,9.0,54.0,41.656299559,-87.602331074
12956742,JG121254,2023-01-18 20:12:00,042XX W ARMITAGE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,2522,25.0,35.0,20.0,41.91709678,-87.731847071
12957639,JG121257,2023-01-18 20:05:00,009XX W FULLERTON AVE,BATTERY,SIMPLE,SIDEWALK,False,False,1812,18.0,43.0,7.0,41.925404043,-87.6518666
12957736,JG121245,2023-01-18 19:57:00,002XX W 95TH ST,BATTERY,SIMPLE,APARTMENT,False,True,634,6.0,21.0,49.0,41.721655537,-87.629092983
12956727,JG121237,2023-01-18 19:54:00,020XX W 52ND PL,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,932,9.0,16.0,61.0,41.798016319,-87.675970438
12956805,JG121231,2023-01-18 19:50:00,032XX N PULASKI RD,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESTAURANT,False,False,1732,17.0,30.0,21.0,41.940387398,-87.727221251
12956633,JG121197,2023-01-18 19:36:00,059XX S PEORIA ST,ASSAULT,SIMPLE,APARTMENT,False,True,712,7.0,16.0,68.0,41.786218897,-87.647384159
12956716,JG121196,2023-01-18 19:20:00,001XX N OAKLEY BLVD,ASSAULT,SIMPLE,CHA APARTMENT,False,False,1223,12.0,27.0,28.0,41.884180033,-87.684048419
12956723,JG121219,2023-01-18 19:03:00,024XX W 47TH PL,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,False,922,9.0,15.0,58.0,41.807510302,-87.685413708
12956688,JG121177,2023-01-18 18:48:00,053XX W BLOOMINGDALE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2532,25.0,37.0,25.0,41.913120866,-87.758733913
12956543,JG121155,2023-01-18 18:47:00,064XX S KEDZIE AVE,ASSAULT,SIMPLE,RESTAURANT,False,False,823,8.0,17.0,66.0,41.775873548,-87.703065743
12956725,JG121158,2023-01-18 18:40:00,041XX W IRVING PARK RD,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA STATION,False,False,1732,17.0,45.0,16.0,41.953620328,-87.730408248
12956647,JG121146,2023-01-18 18:35:00,050XX W MONROE ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1533,15.0,28.0,25.0,41.879435376,-87.750582705
12595968,JF117260,2022-01-18 20:48:00,071XX S ST LAWRENCE AVE,ASSAULT,SIMPLE,APARTMENT,False,False,323,3.0,6.0,69.0,41.765058712,-87.610408244
12595984,JF117253,2022-01-18 20:45:00,005XX N LARAMIE AVE,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,1523,15.0,37.0,25.0,41.890450601,-87.755433383
12599427,JF117213,2022-01-18 20:40:00,011XX N LAWLER AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1531,15.0,37.0,25.0,41.901155389,-87.752071302
12596014,JF117223,2022-01-18 20:38:00,010XX W GRACE ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1923,19.0,44.0,6.0,41.951100395,-87.655956563
12595958,JF117222,2022-01-18 20:30:00,048XX S KEDZIE AVE,ASSAULT,SIMPLE,CTA BUS,False,False,821,8.0,14.0,58.0,41.804962024,-87.703884743
12596369,JF117523,2022-01-18 20:30:00,037XX N LARAMIE AVE,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,False,False,1634,16.0,45.0,15.0,41.948979271,-87.757011425
12596527,JF117242,2022-01-18 20:30:00,075XX S SOUTH SHORE DR,BATTERY,SIMPLE,APARTMENT,False,False,421,4.0,7.0,43.0,41.76015578,-87.556752911
