latitude,longitude,primary_type,dist_to_stadium_km
41.77481905,-87.789390362,ASSAULT,17.303728305696982
41.692335431,-87.644073089,BATTERY,19.035016628948956
41.884611431,-87.73150553,BATTERY,9.824092917404547
41.732429048,-87.585553602,BATTERY,14.669988721692208
41.769185486,-87.625732415,BATTERY,10.380884491229574
42.008654814,-87.688906798,ASSAULT,17.335346784977542
41.774118663,-87.611882909,BATTERY,9.813439772623806
41.778803352,-87.665468412,ASSAULT,10.12580900860512
41.852578392,-87.651109577,BATTERY,3.0478975460864626
41.909846709,-87.729270003,BATTERY,10.714043002488705
41.864493678,-87.639158,BATTERY,1.875699815042292
41.807639538,-87.662509729,BATTERY,7.165578299295696
41.746053316,-87.549146964,ASSAULT,14.086691692445157
41.762532622,-87.640023507,ASSAULT,11.260771246059194
41.817687626,-87.632392707,BATTERY,5.128182723019298
41.854917247,-87.656337419,ASSAULT,3.3837550445420637
41.891742915,-87.721485405,BATTERY,9.27272861852742
41.920716625,-87.735564664,ASSAULT,11.78977500998851
41.869749161,-87.640107132,BATTERY,2.1078580598833
41.887475918,-87.709807121,ASSAULT,8.20147648462369
41.807761788,-87.672235873,BATTERY,7.612230122760895
41.774375943,-87.613086155,BATTERY,9.781294739104721
41.909664252,-87.742728815,BATTERY,11.686874750058228
41.824442097,-87.684857792,BATTERY,7.042582635779958
41.880362084,-87.755847438,BATTERY,11.69526131616135
41.757223644,-87.562274867,ASSAULT,12.524456628553358
41.750504887,-87.731671398,ASSAULT,15.663337195293535
41.856432328,-87.656380172,BATTERY,3.3503106343572706
41.748310555,-87.647615626,BATTERY,12.931478831591255
41.866378637,-87.770474982,BATTERY,12.742158209176422
41.968462913,-87.707683157,BATTERY,14.000992561063176
41.649590326,-87.545930884,ASSAULT,24.36983080362079
41.783098885,-87.665119513,ASSAULT,9.677654215191803
41.876351419,-87.666454924,BATTERY,4.406203436726564
41.788652708,-87.724245101,BATTERY,12.102588405626598
41.747646072,-87.60345414,BATTERY,12.796122161809574
41.839707271,-87.723207056,BATTERY,9.172407937105788
41.842372557,-87.727468223,BATTERY,9.438217347282643
41.79896154,-87.601291462,ASSAULT,7.157687900692646
41.829365814,-87.677693541,BATTERY,6.239960419782738
41.849286908,-87.700279235,BATTERY,7.071731815695719
41.833550031,-87.676594044,ASSAULT,5.901887574315533
41.77268999,-87.70053807,ASSAULT,12.14723863849941
41.777928723,-87.604647024,BATTERY,9.43467528827478
41.908364703,-87.755918415,BATTERY,12.611866517750789
41.99653039,-87.697162914,ASSAULT,16.342717677828176
41.711622791,-87.651470397,BATTERY,17.000742673787446
42.018435512,-87.675916874,BATTERY,18.039132762939452
41.848745982,-87.623700169,BATTERY,1.6148034591469462
41.777783389,-87.615563072,BATTERY,9.398290600893361
41.913457483,-87.774110298,BATTERY,14.217869337546743
41.899012916,-87.770405213,ASSAULT,13.363838530870467
41.806392948,-87.660046916,ASSAULT,7.1793345786837115
41.68094392,-87.537099797,ASSAULT,21.218828943731438
41.998460083,-87.680154581,BATTERY,16.02446313154234
41.933766545,-87.769978435,BATTERY,14.969696184762423
41.77255209,-87.572803188,ASSAULT,10.621860447425657
41.85290559,-87.628044147,BATTERY,1.4049497107864806
41.763446501,-87.640482844,BATTERY,11.167328277455837
41.751821289,-87.559590955,ASSAULT,13.165047531142104
41.85199252,-87.688888738,BATTERY,6.087482333918457
41.906485941,-87.682239126,BATTERY,7.319631465345758
41.929568924,-87.794203793,BATTERY,16.486317957523656
41.777767211,-87.600396013,BATTERY,9.49621944212025
41.86390688,-87.708031716,ASSAULT,7.565423672615081
41.718679456,-87.549637355,BATTERY,16.910023882598765
41.781153211,-87.674628459,ASSAULT,10.220511976812036
41.830917641,-87.608064205,ASSAULT,3.562122391016051
41.983648896,-87.716222029,BATTERY,15.807195842237459
41.909800625,-87.781735963,ASSAULT,14.647419805439636
41.802240107,-87.606777604,ASSAULT,6.728763128216533
41.806666631,-87.615508517,ASSAULT,6.186935915126421
