id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude,home_game,gameday
14090783,JK124785,2026-01-19T00:30:00.000,121XX S WALLACE ST,ASSAULT,SIMPLE,APARTMENT,False,True,0523,005,21,53,41.673263228,-87.636945006,True,False
14087264,JK120295,2026-01-19T00:26:00.000,040XX S LAKE PARK AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,0214,002,4,36,41.820789479,-87.6012887,True,False
14087188,JK120280,2026-01-19T00:25:00.000,002XX E 75TH ST,NARCOTICS,POSSESS - SYNTHETIC DRUGS,SIDEWALK,True,False,0323,003,6,69,41.758328525,-87.619437708,True,False
14087201,JK120289,2026-01-19T00:25:00.000,078XX S SANGAMON ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0621,006,17,71,41.751524676,-87.64770602,True,False
14087268,JK120283,2026-01-19T00:21:00.000,067XX S MERRILL AVE,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,0331,003,5,43,41.772645413,-87.572805751,True,False
14087203,JK120300,2026-01-19T00:15:00.000,002XX N STATE ST,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,False,False,0111,001,42,32,41.885888079,-87.627942238,True,False
14087205,JK120284,2026-01-19T00:15:00.000,002XX N STATE ST,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,0111,001,42,32,41.885888079,-87.627942238,True,False
14087241,JK120303,2026-01-19T00:15:00.000,001XX S CENTRAL AVE,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,False,1513,015,29,25,41.878631263,-87.764808046,True,False
14087207,JK120279,2026-01-19T00:14:00.000,038XX N BERNARD ST,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,True,False,1732,017,35,16,41.950857548,-87.714031287,True,False
14112545,JK150750,2026-01-19T00:01:00.000,007XX E 104TH ST,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",STREET,False,True,0512,005,9,50,41.705611747,-87.605669271,True,False
14091083,JK125141,2026-01-19T00:00:00.000,039XX W PALMER ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2525,025,35,22,41.920840018,-87.72509506,True,False
