game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,bears_win
2002_07_CHI_DET,2002,REG,7,2002-10-20,Sunday,13:00,CHI,20,DET,23,Home,3,43,0.0
2002_08_CHI_MIN,2002,REG,8,2002-10-27,Sunday,13:00,CHI,7,MIN,25,Home,18,32,0.0
2002_09_PHI_CHI,2002,REG,9,2002-11-03,Sunday,13:00,PHI,19,CHI,13,Home,-6,32,0.0
2002_10_NE_CHI,2002,REG,10,2002-11-10,Sunday,16:15,NE,33,CHI,30,Home,-3,63,0.0
2002_11_CHI_STL,2002,REG,11,2002-11-18,Monday,09:00,CHI,16,STL,21,Home,5,37,0.0
2002_12_DET_CHI,2002,REG,12,2002-11-24,Sunday,13:00,DET,17,CHI,20,Home,3,37,1.0
2002_13_CHI_GB,2002,REG,13,2002-12-01,Sunday,13:00,CHI,20,GB,30,Home,10,50,0.0
2002_14_CHI_MIA,2002,REG,14,2002-12-09,Monday,09:00,CHI,9,MIA,27,Home,18,36,0.0
2002_15_NYJ_CHI,2002,REG,15,2002-12-15,Sunday,13:00,NYJ,13,CHI,20,Home,7,33,1.0
2002_16_CHI_CAR,2002,REG,16,2002-12-22,Sunday,13:00,CHI,14,CAR,24,Home,10,38,0.0
2002_17_TB_CHI,2002,REG,17,2002-12-29,Sunday,20:30,TB,15,CHI,0,Home,-15,15,0.0
2003_01_CHI_SF,2003,REG,1,2003-09-07,Sunday,16:15,CHI,7,SF,49,Home,42,56,0.0
2003_02_CHI_MIN,2003,REG,2,2003-09-14,Sunday,20:30,CHI,13,MIN,24,Home,11,37,0.0
2003_04_GB_CHI,2003,REG,4,2003-09-29,Monday,09:00,GB,38,CHI,23,Home,-15,61,0.0
2003_05_OAK_CHI,2003,REG,5,2003-10-05,Sunday,13:00,OAK,21,CHI,24,Home,3,45,1.0
2003_06_CHI_NO,2003,REG,6,2003-10-12,Sunday,13:00,CHI,13,NO,20,Home,7,33,0.0
2003_07_CHI_SEA,2003,REG,7,2003-10-19,Sunday,16:15,CHI,17,SEA,24,Home,7,41,0.0
2003_08_DET_CHI,2003,REG,8,2003-10-26,Sunday,13:00,DET,16,CHI,24,Home,8,40,1.0
