id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude,home_game,gameday
14088898,JK122492,2026-01-19T22:30:00.000,011XX E 45TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0222,002,4,39,41.813272715,-87.597819751,True,False
14088113,JK121319,2026-01-19T22:30:00.000,007XX E 79TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,False,True,0624,006,6,69,41.751253211,-87.607096334,True,False
14088082,JK121321,2026-01-19T22:23:00.000,054XX S SHIELDS AVE,THEFT,OVER $500,STREET,True,False,0935,009,20,37,41.794819753,-87.634226167,True,False
14088040,JK121316,2026-01-19T22:17:00.000,001XX N LECLAIRE AVE,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,True,False,1532,015,28,25,41.883389747,-87.752731783,True,False
14088573,JK121311,2026-01-19T22:15:00.000,021XX E 82ND ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0414,004,8,46,41.746203329,-87.571857337,True,False
14088173,JK121305,2026-01-19T22:13:00.000,078XX S EVANS AVE,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,False,True,0624,006,6,69,41.752127409,-87.606467131,True,False
14088423,JK121912,2026-01-19T22:00:00.000,017XX N WESTERN AVE,BURGLARY,BURGLARY FROM MOTOR VEHICLE,COMMERCIAL / BUSINESS OFFICE,False,False,1434,014,32,24,41.913034767,-87.687290426,True,False
14089357,JK123053,2026-01-19T22:00:00.000,018XX W HOOD AVE,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,2413,024,40,2,41.993151375,-87.676055743,True,False
14088132,JK121325,2026-01-19T22:00:00.000,023XX N SOUTHPORT AVE,BATTERY,SIMPLE,APARTMENT,False,False,1811,018,2,7,41.92403324,-87.663279822,True,False
14088211,JK121495,2026-01-19T22:00:00.000,003XX N JEFFERSON ST,BATTERY,SIMPLE,APARTMENT,False,True,1214,012,34,28,41.888519671,-87.64282025,True,False
14088047,JK121310,2026-01-19T21:59:00.000,034XX W CHICAGO AVE,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,APARTMENT,False,False,1121,011,27,23,41.895502797,-87.71182632,True,False
