game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,bears_win
2013_09_CHI_GB,2013,REG,9,2013-11-04,Monday,20:30,CHI,27,GB,20,-7,47,1
2013_10_DET_CHI,2013,REG,10,2013-11-10,Sunday,13:00,DET,21,CHI,19,-2,40,0
2013_11_BAL_CHI,2013,REG,11,2013-11-17,Sunday,13:00,BAL,20,CHI,23,3,43,1
2013_12_CHI_STL,2013,REG,12,2013-11-24,Sunday,13:00,CHI,21,STL,42,21,63,0
2013_13_CHI_MIN,2013,REG,13,2013-12-01,Sunday,13:00,CHI,20,MIN,23,3,43,0
2013_14_DAL_CHI,2013,REG,14,2013-12-09,Monday,20:30,DAL,28,CHI,45,17,73,1
2013_15_CHI_CLE,2013,REG,15,2013-12-15,Sunday,13:00,CHI,38,CLE,31,-7,69,1
2013_16_CHI_PHI,2013,REG,16,2013-12-22,Sunday,20:30,CHI,11,PHI,54,43,65,0
2013_17_GB_CHI,2013,REG,17,2013-12-29,Sunday,16:25,GB,33,CHI,28,-5,61,0
2014_01_BUF_CHI,2014,REG,1,2014-09-07,Sunday,13:00,BUF,23,CHI,20,-3,43,0
2014_02_CHI_SF,2014,REG,2,2014-09-14,Sunday,20:30,CHI,28,SF,20,-8,48,1
2014_03_CHI_NYJ,2014,REG,3,2014-09-22,Monday,20:30,CHI,27,NYJ,19,-8,46,1
2014_04_GB_CHI,2014,REG,4,2014-09-28,Sunday,13:00,GB,38,CHI,17,-21,55,0
2014_05_CHI_CAR,2014,REG,5,2014-10-05,Sunday,13:00,CHI,24,CAR,31,7,55,0
2014_06_CHI_ATL,2014,REG,6,2014-10-12,Sunday,16:25,CHI,27,ATL,13,-14,40,1
2014_07_MIA_CHI,2014,REG,7,2014-10-19,Sunday,13:00,MIA,27,CHI,14,-13,41,0
2014_08_CHI_NE,2014,REG,8,2014-10-26,Sunday,13:00,CHI,23,NE,51,28,74,0
2014_10_CHI_GB,2014,REG,10,2014-11-09,Sunday,20:30,CHI,14,GB,55,41,69,0
2014_11_MIN_CHI,2014,REG,11,2014-11-16,Sunday,13:00,MIN,13,CHI,21,8,34,1
2014_12_TB_CHI,2014,REG,12,2014-11-23,Sunday,13:00,TB,13,CHI,21,8,34,1
2014_13_CHI_DET,2014,REG,13,2014-11-27,Thursday,12:30,CHI,17,DET,34,17,51,0
2014_14_DAL_CHI,2014,REG,14,2014-12-04,Thursday,20:25,DAL,41,CHI,28,-13,69,0
2014_15_NO_CHI,2014,REG,15,2014-12-15,Monday,20:30,NO,31,CHI,15,-16,46,0
2014_16_DET_CHI,2014,REG,16,2014-12-21,Sunday,13:00,DET,20,CHI,14,-6,34,0
2014_17_CHI_MIN,2014,REG,17,2014-12-28,Sunday,13:00,CHI,9,MIN,13,4,22,0
2015_01_GB_CHI,2015,REG,1,2015-09-13,Sunday,13:00,GB,31,CHI,23,-8,54,0
2015_02_ARI_CHI,2015,REG,2,2015-09-20,Sunday,13:00,ARI,48,CHI,23,-25,71,0
2015_03_CHI_SEA,2015,REG,3,2015-09-27,Sunday,16:25,CHI,0,SEA,26,26,26,0
