id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude,home_game,gameday
14080008,JK110883,2026-01-10T23:00:00.000,049XX S DREXEL BLVD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0222,002,4,39,41.805322323,-87.603808532,True,True
14079995,JK110903,2026-01-10T23:00:00.000,025XX N SPRINGFIELD AVE,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,2524,025,35,22,41.926994386,-87.724400866,True,True
14101509,JK138344,2026-01-10T23:00:00.000,040XX S MAPLEWOOD AVE,THEFT,$500 AND UNDER,STREET,False,False,0921,009,12,58,41.820159271,-87.688444935,True,True
14079997,JK110875,2026-01-10T23:00:00.000,015XX N ROCKWELL ST,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT / GROUNDS,False,True,1423,014,1,24,41.909085286,-87.692091435,True,True
14088117,JK120292,2026-01-10T23:00:00.000,059XX W LAKE ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,1512,015,29,25,41.887999144,-87.774108361,True,True
14080682,JK111319,2026-01-10T23:00:00.000,028XX N ASHLAND AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1932,019,32,6,41.933593915,-87.668438912,True,True
14080025,JK110973,2026-01-10T23:00:00.000,004XX N UNION AVE,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1214,012,27,24,41.890502531,-87.645817841,True,True
14080150,JK111082,2026-01-10T23:00:00.000,035XX W FRANKLIN BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1121,011,27,23,41.88997998,-87.71461599,True,True
14081545,JK112622,2026-01-10T23:00:00.000,079XX S ABERDEEN ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0612,006,17,71,41.749537171,-87.651289197,True,True
14080323,JK111340,2026-01-10T23:00:00.000,035XX N CLARK ST,THEFT,OVER $500,RESTAURANT,False,False,1924,019,44,6,41.94670237,-87.656117076,True,True
14080000,JK110863,2026-01-10T22:52:00.000,031XX N SACRAMENTO AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1411,014,35,21,41.938084606,-87.702691256,True,True
14079969,JK110857,2026-01-10T22:52:00.000,006XX N CENTRAL PARK AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1121,011,27,23,41.892529831,-87.716229454,True,True
