id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude,home_game,gameday
14076044,JK106288,2026-01-06T19:40:00.000,004XX N PARK DR,THEFT,ATTEMPT THEFT,HOTEL / MOTEL,False,False,1834,018,42,8,41.89031518,-87.619607985,True,False
14076223,JK106293,2026-01-06T19:38:00.000,0000X E 111TH ST,BATTERY,SIMPLE,DEPARTMENT STORE,False,False,0513,005,9,49,41.692605563,-87.621310927,True,False
14076496,JK106690,2026-01-06T19:38:00.000,030XX W 111TH ST,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,COMMERCIAL / BUSINESS OFFICE,False,False,2211,022,19,74,41.691619275,-87.69641241,True,False
14076270,JK106332,2026-01-06T19:38:00.000,039XX W VAN BUREN ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,1132,011,28,26,41.875286501,-87.724223679,True,False
14076208,JK106284,2026-01-06T19:38:00.000,043XX N KEDZIE AVE,THEFT,RETAIL THEFT,DRUG STORE,False,False,1724,017,33,16,41.960211239,-87.708216117,True,False
14076239,JK106315,2026-01-06T19:37:00.000,063XX S KEDZIE AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,0823,008,14,66,41.778340981,-87.703122242,True,False
14076434,JK106608,2026-01-06T19:30:00.000,018XX W HARRISON ST,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1231,012,27,28,41.874095762,-87.673124235,True,False
14076193,JK106307,2026-01-06T19:30:00.000,066XX N WESTERN AVE,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",PARK PROPERTY,False,False,2412,024,40,2,42.001822361,-87.689987495,True,False
14076495,JK106725,2026-01-06T19:30:00.000,035XX S RHODES AVE,ASSAULT,SIMPLE,APARTMENT,False,False,0212,002,4,35,41.829651528,-87.614451899,True,False
14076043,JK106294,2026-01-06T19:30:00.000,066XX N WESTERN AVE,THEFT,OVER $500,STREET,False,False,2412,024,40,2,42.001822361,-87.689987495,True,False
14076070,JK106285,2026-01-06T19:15:00.000,070XX S COTTAGE GROVE AVE,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,0321,003,6,42,41.76680404,-87.605619683,True,False
14076212,JK106283,2026-01-06T19:15:00.000,019XX E 71ST ST,THEFT,$500 AND UNDER,STREET,False,True,0333,003,5,43,41.766062706,-87.577091576,True,False
14076232,JK106348,2026-01-06T19:14:00.000,039XX S LAKE PARK AVE,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,STREET,False,False,0212,002,4,36,41.824806507,-87.603785506,True,False
14077287,JK107606,2026-01-06T19:11:00.000,003XX N STATE ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,1831,018,42,8,41.887919288,-87.628019052,True,False
14076113,JK106300,2026-01-06T19:09:00.000,012XX S ALBANY AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,1022,010,24,29,41.86567488,-87.703139044,True,False
14076185,JK106252,2026-01-06T19:08:00.000,056XX S HONORE ST,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,0715,007,15,67,41.791684521,-87.670589582,True,False
14076823,JK106308,2026-01-06T19:07:00.000,012XX N KARLOV AVE,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,False,True,2534,025,37,23,41.902860016,-87.728773832,True,False
14077117,JK106569,2026-01-06T19:05:00.000,008XX N WELLS ST,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,1823,018,27,8,41.898522855,-87.634275284,True,False
14076955,JK106248,2026-01-06T19:02:00.000,088XX S BURLEY AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,0424,004,10,46,41.734959764,-87.545779334,True,False
