id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude,home_game,gameday
14083566,JK115669,2026-01-14T16:00:00.000,068XX S PAXTON AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,0331,003,5,43,41.771017908,-87.571541928,True,False
14083942,JK116139,2026-01-14T16:00:00.000,107XX S AVENUE N,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,0432,004,10,52,41.700092635,-87.538910576,True,False
14083730,JK115436,2026-01-14T16:00:00.000,048XX S CHICAGO BEACH DR,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0222,002,5,39,41.807101267,-87.586402447,True,False
14099952,JK136436,2026-01-14T16:00:00.000,029XX W 64TH ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,0823,008,15,66,41.777247466,-87.6964201,True,False
14101223,JK137880,2026-01-14T16:00:00.000,002XX E 95TH ST,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0511,005,9,49,41.721840482,-87.617277592,True,False
14086210,JK119129,2026-01-14T16:00:00.000,105XX S NORMAL AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,2233,022,21,49,41.702541716,-87.63545369,True,False
14084233,JK116502,2026-01-14T16:00:00.000,017XX E 56TH ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0235,002,5,41,41.793450086,-87.581599334,True,False
14091260,JK125467,2026-01-14T16:00:00.000,117XX S ELIZABETH ST,BATTERY,SIMPLE,OTHER (SPECIFY),False,False,0524,005,21,53,41.680807333,-87.652967245,True,False
14083459,JK115472,2026-01-14T15:56:00.000,069XX S HARVARD AVE,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,0731,007,6,68,41.768558189,-87.633536292,True,False
14083440,JK115324,2026-01-14T15:50:00.000,072XX S SANGAMON ST,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,True,False,0733,007,17,68,41.762854864,-87.647992273,True,False
14083519,JK115393,2026-01-14T15:46:00.000,010XX W 14TH ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,1232,012,28,28,41.863457262,-87.652605569,True,False
14083771,JK115733,2026-01-14T15:45:00.000,051XX S LOTUS AVE,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,0814,008,23,56,41.799333259,-87.758827342,True,False
14083585,JK115297,2026-01-14T15:42:00.000,072XX S GREEN ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,0733,007,17,68,41.76268665,-87.645560247,True,False
14083469,JK115331,2026-01-14T15:37:00.000,070XX S CREGIER AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0332,003,5,43,41.767294787,-87.581255938,True,False
14084058,JK116431,2026-01-14T15:30:00.000,027XX E 76TH ST,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,0421,004,7,43,41.757608844,-87.557531296,True,False
14084628,JK116538,2026-01-14T15:30:00.000,081XX S VERNON AVE,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,0631,006,6,44,41.74674678,-87.613592936,True,False
14083560,JK115718,2026-01-14T15:30:00.000,030XX W 53RD ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0923,009,14,63,41.797238042,-87.699607176,True,False
14091390,JK125427,2026-01-14T15:30:00.000,065XX N ONARGA AVE,DECEPTIVE PRACTICE,COMPUTER FRAUD,,False,False,1611,016,41,9,41.999012195,-87.807428725,True,False
