id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude,home_game,gameday
14089616,JK123492,2026-01-21T18:00:00.000,030XX W 63RD ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,False,0823,008,15,66,41.779040428,-87.698572821,True,False
14093359,JK128120,2026-01-21T18:00:00.000,044XX N MARINE DR,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,1914,019,46,3,41.963811662,-87.648111492,True,False
14090080,JK123995,2026-01-21T18:00:00.000,009XX S WABASH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0123,001,4,32,41.870389764,-87.625902397,True,False
14089867,JK123571,2026-01-21T18:00:00.000,051XX S CALUMET AVE,THEFT,$500 AND UNDER,APARTMENT,False,False,0231,002,3,40,41.801131542,-87.61772683,True,False
14090416,JK124245,2026-01-21T18:00:00.000,010XX W 14TH ST,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,1232,012,28,28,41.863461031,-87.652315509,True,False
14090410,JK124414,2026-01-21T18:00:00.000,032XX W BEACH AVE,ASSAULT,SIMPLE,RESIDENCE,False,True,1422,014,26,23,41.907365618,-87.708191908,True,False
14090640,JK124786,2026-01-21T18:00:00.000,043XX S CALUMET AVE,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0215,002,3,38,41.816083396,-87.618334445,True,False
14094331,JK129252,2026-01-21T18:00:00.000,067XX S CONSTANCE AVE,THEFT,$500 AND UNDER,APARTMENT,False,False,0332,003,5,43,41.772877757,-87.580164253,True,False
14092585,JK126906,2026-01-21T18:00:00.000,014XX S ASHLAND AVE,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1233,012,28,28,41.862132355,-87.666264958,True,False
14090035,JK123880,2026-01-21T18:00:00.000,065XX S HARVARD AVE,THEFT,OVER $500,APARTMENT,False,False,0722,007,6,68,41.775521875,-87.633317618,True,False
14090429,JK124185,2026-01-21T18:00:00.000,010XX W 14TH ST,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,1232,012,28,28,41.863461031,-87.652315509,True,False
14090609,JK124761,2026-01-21T18:00:00.000,022XX W NORTH AVE,BURGLARY,FORCIBLE ENTRY,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,False,False,1424,014,1,24,41.910384196,-87.682978364,True,False
14091901,JK126129,2026-01-21T17:54:00.000,023XX W MONTANA ST,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,APARTMENT,False,False,1432,014,32,22,41.92568074,-87.686416893,True,False
14089707,JK123526,2026-01-21T17:53:00.000,011XX W 17TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1235,012,25,31,41.858880162,-87.654977778,True,False
14090714,JK123867,2026-01-21T17:45:00.000,0000X E MONROE ST,THEFT,FROM BUILDING,HOTEL / MOTEL,False,False,0112,001,34,32,41.880775433,-87.627029031,True,False
14089722,JK123631,2026-01-21T17:40:00.000,081XX S DREXEL AVE,THEFT,$500 AND UNDER,SIDEWALK,False,False,0631,006,8,44,41.74719631,-87.602638387,True,False
