id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude,home_game,gameday
14080673,JK111353,2026-01-10T22:40:00.000,009XX W Fulton Market,THEFT,$500 AND UNDER,BAR OR TAVERN,False,False,1214,012,27,28,41.886749069,-87.651451258,False,False
14079971,JK110866,2026-01-10T22:35:00.000,0000X E ONTARIO ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1834,018,42,8,41.893281677,-87.627596446,False,False
14079977,JK110862,2026-01-10T22:35:00.000,004XX W DIVERSEY PKWY,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1935,019,43,7,41.932888295,-87.640530058,False,False
14079957,JK110848,2026-01-10T22:30:00.000,075XX S RHODES AVE,THEFT,$500 AND UNDER,STREET,False,False,0624,006,6,69,41.757683086,-87.611447618,False,False
14080273,JK111265,2026-01-10T22:30:00.000,023XX S MARSHALL BLVD,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1033,010,24,30,41.849565391,-87.699024902,False,False
14081656,JK112180,2026-01-10T22:25:00.000,006XX E 42ND ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,0214,002,4,38,41.818528174,-87.611256266,False,False
14080711,JK111705,2026-01-10T22:22:00.000,020XX N ALBANY AVE,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,1414,014,1,22,41.917928451,-87.705226577,False,False
14080107,JK110859,2026-01-10T22:20:00.000,002XX W 63RD ST,ROBBERY,ARMED - HANDGUN,CTA TRAIN,False,False,0711,007,20,68,41.779975054,-87.630937377,False,False
14080584,JK111618,2026-01-10T22:15:00.000,015XX S LAKE SHORE DR SB,THEFT,OVER $500,SPORTS ARENA / STADIUM,False,False,0132,001,4,33,41.860559903,-87.617934625,False,False
14080059,JK110846,2026-01-10T22:15:00.000,014XX W MORSE AVE,BATTERY,SIMPLE,RESTAURANT,False,False,2431,024,49,1,42.007894034,-87.666690704,False,False
14080311,JK111310,2026-01-10T22:00:00.000,006XX N TRUMBULL AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1121,011,27,23,41.892776333,-87.712576298,False,False
14080281,JK111288,2026-01-10T22:00:00.000,132XX S COMMERCIAL AVE,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,0433,004,10,55,41.654648338,-87.550779986,False,False
14081259,JK112181,2026-01-10T22:00:00.000,054XX S CLAREMONT AVE,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,0932,009,16,63,41.794484831,-87.682306774,False,False
14080961,JK111973,2026-01-10T22:00:00.000,087XX S RIDGELAND AVE,BURGLARY,BURGLARY FROM MOTOR VEHICLE,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,False,False,0412,004,8,48,41.735790385,-87.581700544,False,False
14080048,JK110927,2026-01-10T22:00:00.000,071XX S CHAMPLAIN AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0323,003,6,69,41.765320132,-87.609214012,False,False
14080159,JK111095,2026-01-10T22:00:00.000,005XX E 43RD ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0221,002,3,38,41.816690816,-87.6136504,False,False
